monthly_txn_volume,avg_txn_size,business_tenure_months,iot_device_uptime_pct,payment_consistency_score,industry_sector,monthly_revenue,num_employees,credit_approved,credit_limit,risk_tier
107,39546.62,6,97.73,0.8603,logistics,500000.0,67,0,50000,HIGH
440,15971.69,58,75.15,0.4385,services,500000.0,137,1,365421,LOW
353,31313.27,69,95.01,0.9527,fnb,500000.0,116,1,374269,LOW
275,44304.59,156,94.49,0.6753,manufacturing,500000.0,191,1,359397,MEDIUM
111,30812.37,62,93.06,0.3461,logistics,500000.0,139,0,50000,HIGH
76,11686.33,169,90.94,0.8263,manufacturing,334253.29,37,1,292219,MEDIUM
193,1268.82,197,79.26,0.4513,fnb,183895.43,142,0,50000,HIGH
25,43511.44,82,98.99,0.7502,services,352578.51,147,1,252531,MEDIUM
107,1112.41,218,94.99,0.687,logistics,77954.74,8,1,148212,MEDIUM
126,43741.35,212,100.0,0.3303,retail,500000.0,135,1,374598,MEDIUM
471,26470.41,169,79.69,0.4493,retail,500000.0,59,1,356460,MEDIUM
219,46956.43,177,96.06,0.2653,services,500000.0,123,1,358732,MEDIUM
335,39949.22,219,90.12,0.7871,manufacturing,500000.0,191,1,411945,LOW
463,49896.81,177,93.15,0.6407,fnb,500000.0,7,1,406352,LOW
92,17568.06,204,90.21,0.4188,fnb,475087.77,120,1,349359,MEDIUM
377,38371.06,71,96.35,0.809,retail,500000.0,183,1,370077,LOW
104,20126.45,131,90.7,0.6957,retail,500000.0,3,1,340914,MEDIUM
364,24019.79,10,83.58,0.7146,fnb,500000.0,67,1,375499,MEDIUM
156,31393.9,98,92.69,0.7258,services,500000.0,18,1,386367,MEDIUM
135,43690.17,89,90.29,0.6436,services,500000.0,45,1,397817,MEDIUM
154,49204.97,35,91.33,0.3738,services,500000.0,97,0,50000,HIGH
313,38425.26,208,66.5,0.7636,fnb,500000.0,92,1,399931,LOW
262,20917.45,2,97.46,0.5637,fnb,500000.0,164,0,50000,HIGH
348,21096.78,124,89.48,0.4601,fnb,500000.0,144,1,343699,MEDIUM
496,36892.24,24,81.21,0.6336,retail,500000.0,79,1,375457,MEDIUM
418,11976.92,74,99.38,0.7517,retail,500000.0,157,1,418608,LOW
298,5568.18,166,97.09,0.5406,fnb,500000.0,59,1,405623,LOW
390,17763.38,22,89.38,0.2529,tech,500000.0,146,1,367053,MEDIUM
196,14397.59,154,82.78,0.6989,fnb,500000.0,177,1,387493,LOW
448,14850.59,171,93.42,0.9344,tech,500000.0,174,1,423046,LOW
281,11718.71,183,92.98,0.6879,fnb,500000.0,83,1,351802,LOW
165,2152.55,39,99.39,0.4604,services,342738.59,157,1,304667,MEDIUM
464,942.8,219,88.45,0.5009,logistics,404017.79,198,1,332837,LOW
318,49386.73,157,100.0,0.8404,retail,500000.0,109,1,380301,LOW
26,21417.27,239,87.68,0.735,retail,310384.45,178,1,285173,LOW
257,19247.12,230,81.23,0.7385,tech,500000.0,55,1,384784,LOW
240,33998.38,20,82.94,0.5401,services,500000.0,155,0,50000,HIGH
349,10951.78,219,91.5,0.411,retail,500000.0,135,1,377276,LOW
53,47500.56,41,91.48,0.8192,retail,500000.0,91,1,355062,MEDIUM
479,39327.93,182,94.62,0.5912,tech,500000.0,83,1,404815,LOW
63,4516.08,148,91.28,0.58,logistics,205657.65,126,0,50000,HIGH
174,20908.16,108,99.82,0.8739,services,500000.0,81,1,384858,LOW
480,43961.96,147,89.91,0.5868,retail,500000.0,169,1,359026,LOW
192,47239.36,84,76.03,0.797,logistics,500000.0,139,1,355634,MEDIUM
468,23396.71,227,91.03,0.7571,fnb,500000.0,5,1,406606,LOW
275,30689.9,111,75.95,0.8657,fnb,500000.0,66,0,50000,HIGH
194,8393.35,66,94.17,0.8594,manufacturing,500000.0,111,1,345964,MEDIUM
450,49558.87,158,100.0,0.6628,fnb,500000.0,184,1,405095,LOW
179,11622.0,53,84.11,0.6875,manufacturing,500000.0,12,0,50000,HIGH
450,47139.45,34,100.0,0.7166,logistics,500000.0,170,1,421447,LOW
55,32499.85,150,98.74,0.9173,logistics,500000.0,106,1,396513,LOW
368,30406.45,67,100.0,0.5897,fnb,500000.0,75,1,370284,LOW
59,25658.79,134,93.52,0.4966,fnb,500000.0,138,0,50000,HIGH
248,11571.96,207,84.06,0.5737,fnb,500000.0,28,1,395294,LOW
324,8867.58,27,98.25,0.5774,fnb,500000.0,7,1,331440,MEDIUM
135,11063.29,10,87.0,0.7246,services,500000.0,142,1,307244,MEDIUM
489,9362.59,73,92.94,0.9075,fnb,500000.0,77,1,387093,LOW
311,38990.24,225,90.63,0.7411,retail,500000.0,197,1,393929,LOW
139,17538.76,96,100.0,0.8914,retail,500000.0,61,1,370889,MEDIUM
25,2939.24,48,97.84,0.5728,fnb,38272.81,51,0,50000,HIGH
333,48456.68,70,91.36,0.7975,services,500000.0,170,1,398904,LOW
171,44195.1,233,76.39,0.733,services,500000.0,136,1,371593,LOW
278,46391.23,187,86.92,0.7385,services,500000.0,178,1,385872,LOW
392,49745.65,100,97.63,0.2963,manufacturing,500000.0,129,1,370517,MEDIUM
93,8736.07,59,94.24,0.5467,manufacturing,359142.65,197,0,50000,HIGH
320,19842.29,2,79.97,0.7398,services,500000.0,11,0,50000,HIGH
18,37924.01,157,77.55,0.5526,retail,280756.54,107,0,50000,HIGH
246,34816.23,196,93.56,0.7672,services,500000.0,48,1,374016,LOW
269,7737.1,65,83.54,0.3971,fnb,500000.0,138,0,50000,HIGH
350,40800.86,83,84.31,0.7792,retail,500000.0,143,1,368457,LOW
57,11260.81,154,97.38,0.4756,tech,356894.33,103,0,50000,HIGH
390,11229.69,217,100.0,0.7959,fnb,500000.0,47,0,50000,HIGH
